S. No.,Month,Crash Date,Crash Day,Article Date,Location,Million Plus City,State,LatLong,Vehicle 1,Vehicle/Object 2,Killed,Injured,Age,Gender,Road Type,Crash Type,Latitude,Longitude,Age_Count,Average_Age,Minimum_Age,Maximum_Age,Object_2_Type,Crash_Year,Crash_Month_Number,Crash_Day_Number
2193,May,2023-05-28,Sunday,2023-05-29,Sanwara,Nil,Rajasthan,"24.723486672093372, 72.69215949811516",PEDESTRIAN,TRUCK,1,0,12,MALE,NH,Hit and Run,24.72348667209337,72.69215949811516,1.0,12.0,12.0,12.0,VEHICLE,2023,5,6
2194,May,2023-05-28,Sunday,2023-05-30,Alandi,Nil,Maharashtra,"18.671285439418426, 73.89176004586301",TWO WHEELER,TRUCK,2,0,"76,53",MALE,NH,Others,18.671285439418423,73.89176004586301,2.0,64.5,53.0,76.0,VEHICLE,2023,5,6
2196,May,2023-05-30,Tuesday,2023-05-30,Nagya-Sakya Dam,Nil,Maharashtra,"20.351560447588792, 74.61469924021402",CAR,NIL,3,0,"50,25,4",BOTH,SH,Run Off Road,20.351560447588792,74.61469924021402,3.0,26.333333333333332,4.0,50.0,UNKNOWN,2023,5,1
2197,May,2023-05-29,Monday,2023-05-30,Jalukbari,Nil,Assam,"26.142538562492177, 91.6433789711754",CAR,DIVIDER,7,6,,BOTH,NH,Fixed Object Collision,26.142538562492177,91.6433789711754,,,,,OBJECT,2023,5,0
2198,May,2023-05-29,Monday,2023-05-30,Gate 2 Eco Park,Kolkata,West Bengal,"22.60023985705244, 88.47126723572954",TWO WHEELER,CAR,1,0,20,FEMALE,NH,Hit From Back,22.60023985705244,88.47126723572954,1.0,20.0,20.0,20.0,VEHICLE,2023,5,0
2199,May,2023-05-28,Sunday,2023-05-30,Faguha,Nil,Uttar Pradesh,"26.996916394213308, 79.82457331197028",CAR,DIVIDER,4,0,,BOTH,NH,Hit and Run,26.996916394213308,79.82457331197028,,,,,OBJECT,2023,5,6
2200,May,2023-05-29,Monday,2023-05-30,Kochbong,Nil,Jharkhand,"23.265102757441678, 85.35964941884438",TWO WHEELER,TRUCK,2,0,"20,23",MALE,NH,Head On Collision,23.26510275744168,85.35964941884438,2.0,21.5,20.0,23.0,VEHICLE,2023,5,0
2201,May,2023-05-29,Monday,2023-05-30,Deulgaon,Nil,Maharashtra,"20.023097137337786, 76.05391096253284",CAR,CRASH BARRIER,3,0,24,MALE,NH,Fixed Object Collision,20.023097137337786,76.05391096253284,1.0,24.0,24.0,24.0,VEHICLE,2023,5,0
2205,May,2023-05-29,Monday,2023-05-31,Nagpur Rural,Nil,Maharashtra,"21.022126387967447, 79.05837239652519",TWO WHEELER,TRUCK,2,1,"26,55",MALE,NH,Hit From Back,21.022126387967447,79.05837239652519,2.0,40.5,26.0,55.0,VEHICLE,2023,5,0
2208,May,2023-05-30,Tuesday,2023-05-31,Fakirtilla,Nil,Assam,"24.756062862717506, 92.79783840938212",PEDESTRIAN,CAR,1,0,60,FEMALE,SH,Hit and Run,24.756062862717503,92.79783840938212,1.0,60.0,60.0,60.0,VEHICLE,2023,5,1
2209,June,2023-05-29,Monday,2023-06-01,Angamaly,Nil,Kerala,"10.206891963020581, 76.3816975284847",TWO WHEELER,TRUCK,1,0,47,MALE,NH,Hit From Back,10.20689196302058,76.3816975284847,1.0,47.0,47.0,47.0,VEHICLE,2023,5,0
2210,June,2023-05-30,Tuesday,2023-06-01,Dola,Nil,Madhya Pradesh,"23.2207786763906, 82.1391344491615",VAN,WALL,1,8,,,NH,Fixed Object Collision,23.2207786763906,82.1391344491615,,,,,OBJECT,2023,5,1
2211,June,2023-05-30,Tuesday,2023-06-01,Merlapaka,Nil,Andhra Pradesh,"13.701738469291202, 79.61565202413612",CAR,BUS,3,2,,BOTH,NH,Head On Collision,13.701738469291202,79.61565202413612,,,,,VEHICLE,2023,5,1
2212,June,2023-05-29,Monday,2023-06-01,Dhana Kalan,Nil,Haryana,"29.08479135674568, 76.02049168666043",CAR,TRUCK,5,0,,BOTH,NH,With Parked Vehicle,29.08479135674568,76.02049168666043,,,,,VEHICLE,2023,5,0
2214,June,2023-05-29,Monday,2023-06-01,Prahaladapura,Nil,Rajasthan,"26.729754265943544, 75.88821050471624",TRUCK,NIL,1,0,35,MALE,NH,Run Off Road,26.729754265943544,75.88821050471624,1.0,35.0,35.0,35.0,UNKNOWN,2023,5,0
2215,June,2023-05-30,Tuesday,2023-06-01,Bara Chowki,Nil,Uttarakhand,"28.867241360189695, 79.60380266975899",TWO WHEELER,TRUCK,1,3,30,,NH,Others,28.86724136018969,79.60380266975899,1.0,30.0,30.0,30.0,VEHICLE,2023,5,1
2216,June,2023-05-28,Sunday,2023-06-01,Bhumi World,Nil,Maharashtra,"19.263252623284735, 73.07385798382778",AUTO RICKSHAW,NIL,3,4,,BOTH,NH,Run Off Road,19.263252623284732,73.07385798382778,,,,,UNKNOWN,2023,5,6
2217,June,2023-05-29,Monday,2023-06-02,Konijerla,Nil,Telangana,"17.221873806921188, 80.28852864196776",CAR,TRUCK,3,1,"39,35,13",BOTH,SH,Others,17.221873806921188,80.28852864196776,3.0,29.0,13.0,39.0,VEHICLE,2023,5,0
